positive,negative,subjective,objective,favorite_count,followers_count,friends_count,len_tweet,retweet_count,no_of_hashtags,no_of_user_mentions,viral_notviral
0,1,0,1,0,645,365,140,8,0,131,0
0,1,0,1,0,5,35,140,0,0,63,0
1,0,1,0,0,285,585,140,0,0,22,0
0,1,0,1,0,64,387,139,382,7,11,0
0,1,0,1,0,114,225,139,382,7,11,0
0,1,0,1,0,7100,1674,140,8,0,131,0
0,1,0,1,0,66,369,139,382,7,11,0
0,1,0,1,0,1,111,139,382,7,11,0
0,1,0,1,0,5,109,139,382,7,11,0
0,1,0,1,0,267,1029,144,0,0,37,0
0,1,0,1,0,47,177,139,382,7,11,0
0,1,0,1,0,14921,8183,140,5,20,14,0
0,1,0,1,0,6,49,139,382,7,11,0
0,1,0,1,0,872,1140,140,1,12,27,0
0,1,0,1,1,872,1140,137,1,12,13,0
0,1,0,1,0,28,76,139,382,7,11,0
1,0,0,1,0,4227,1,139,2,23,13,0
0,1,0,1,0,52,253,140,0,7,0,0
0,1,0,1,0,8,43,139,382,7,11,0
1,0,0,1,0,3909,1968,139,2,23,13,0
0,1,0,1,0,0,21,139,382,7,11,0
0,1,0,1,0,97,61,139,382,7,11,0
0,1,0,1,0,39,98,139,382,7,11,0
0,1,0,1,0,51,183,139,382,7,11,0
0,1,0,1,0,0,95,139,382,7,11,0
0,1,0,1,0,2,40,139,382,7,11,0
0,1,0,1,0,6,113,139,382,7,11,0
0,1,0,1,0,1,173,140,0,0,13,0
1,0,0,1,0,17033,10920,135,2,14,0,0
0,1,0,1,0,71,195,139,382,7,11,0
0,1,0,1,0,1,11,139,382,7,11,0
0,1,0,1,0,175,617,140,0,8,0,0
0,1,0,1,0,1254,806,140,0,8,56,0
0,1,0,1,0,3,20,139,382,7,11,0
0,1,0,1,0,119,121,139,382,7,11,0
1,0,0,1,0,94,510,140,164,7,11,0
0,1,0,1,0,97,616,139,382,7,11,0
0,1,0,1,0,18276,7818,139,382,7,11,0
0,1,1,0,1,574,1040,140,0,0,51,0
0,1,0,1,0,2305,5,140,2,7,31,0
0,1,0,1,0,586,2482,137,0,0,45,0
0,1,0,1,0,25,33,139,382,7,11,0
0,1,0,1,0,606,1644,139,382,7,11,0
0,1,0,1,0,14,19,140,0,0,63,0
0,1,0,1,0,4,103,140,0,0,56,0
